All
RL_Avatar_Move_Run_F_Motion	1.0	locomotion	run
RL_Avatar_Move_RunToWalkSlow_F_Motion	1.0	locomotion	run
RL_Avatar_Move_WalkFast_F_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkFastToRun_F_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkFastToSlow_F_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkSlow_F_1S_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkSlow_F_2L_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkSlow_F_3E_Motion	1.0	locomotion	walk
RL_Avatar_Move_WalkSlowToFast_F_Motion	1.0	locomotion	walk
RL_Avatar_Move_Wander_F_Motion	1.0	locomotion	walk
RL_Avatar_Walk_Hurry_F_Motion	1.0	locomotion	walk
RL_Avatar_Walk_Normal_F_Motion	1.0	locomotion	walk
RL_Avatar_Walk_Wander_F_Motion	1.0	locomotion	walk

locomotion/Speed_Jog_AC	1.0	locomotion	jog
locomotion/Speed_Jog_AP	1.0	locomotion	jog
locomotion/Speed_Jog_AS	1.0	locomotion	jog
locomotion/Speed_Jog_B	1.0	locomotion	jog
locomotion/Speed_Jog_CCW	1.0	locomotion	jog
locomotion/Speed_Jog_CW	1.0	locomotion	jog
locomotion/Speed_Jog_E	1.0	locomotion	jog
locomotion/Speed_Jog_F	1.0	locomotion	jog
locomotion/Speed_JogRun_Tran	1.0	locomotion	run
locomotion/Speed_Run_AC	1.0	locomotion	run
locomotion/Speed_Run_AP	1.0	locomotion	run
locomotion/Speed_Run_AS	1.0	locomotion	run
locomotion/Speed_Run_B	1.0	locomotion	run
locomotion/Speed_Run_CCW	1.0	locomotion	run
locomotion/Speed_Run_CW	1.0	locomotion	run
locomotion/Speed_Run_F	1.0	locomotion	run
locomotion/Speed_Walk_AC	1.0	locomotion	walk
locomotion/Speed_Walk_AP	1.0	locomotion	walk
locomotion/Speed_Walk_AS	1.0	locomotion	walk
locomotion/Speed_Walk_B	1.0	locomotion	walk
locomotion/Speed_Walk_CCW	1.0	locomotion	walk
locomotion/Speed_Walk_CW	1.0	locomotion	walk
locomotion/Speed_Walk_E1	1.0	locomotion	walk
locomotion/Speed_Walk_F	1.0	locomotion	walk
locomotion/Speed_WalkJog_Tran	1.0	locomotion	jog
locomotion/Speed_WalkRun_Tran	1.0	locomotion	run
