All
RL_Avatar_Dodge_Walk_A_Motion	0.25	locomotion	walk
RL_Avatar_Dodge_Walk_B_Motion	0.25	locomotion	walk
RL_Avatar_Dodge_Walk_C_Motion	0.25	locomotion	walk
RL_Avatar_Move_Run_M_Motion	0.25	locomotion	run
RL_Avatar_Move_RunToWalkSlow_M_Motion	0.25	locomotion	run
RL_Avatar_Move_WalkFast_M_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkFastToRun_M_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkFastToSlow_M_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkSlow_M_1S_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkSlow_M_2L_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkSlow_M_3E_Motion	0.25	locomotion	walk
RL_Avatar_Move_WalkSlowToFast_M_Motion	0.25	locomotion	walk
RL_Avatar_Move_Wander_M_Motion	0.25	locomotion	walk
RL_Avatar_Run_Trotting_Loop_Motion	0.25	locomotion	run
RL_Avatar_Run_Trotting_Motion	0.25	locomotion	run
RL_Avatar_Walk_End(0)_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Hurry_M_Motion	0.25	locomotion	walk
RL_Avatar_Walk_KickingStones_Loop_Motion	0.25	locomotion	walk
RL_Avatar_Walk_KickingStones_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Listening_M_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Loop(0)_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Normal_M_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Normal_Motion	0.25	locomotion	walk
RL_Avatar_Walk_NormalSwayArms_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Prance01_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Prance02_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Refusing_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Start(0)_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Stroll_Motion	0.25	locomotion	walk
RL_Avatar_Walk_Wander_M_Motion	0.25	locomotion	walk

locomotion/Speed_Jog_AC	0.25	locomotion	jog
locomotion/Speed_Jog_AP	0.25	locomotion	jog
locomotion/Speed_Jog_AS	0.25	locomotion	jog
locomotion/Speed_Jog_B	0.25	locomotion	jog
locomotion/Speed_Jog_CCW	0.25	locomotion	jog
locomotion/Speed_Jog_CW	0.25	locomotion	jog
locomotion/Speed_Jog_E	0.25	locomotion	jog
locomotion/Speed_Jog_F	0.25	locomotion	jog
locomotion/Speed_JogRun_Tran	0.25	locomotion	jog
locomotion/Speed_Run_AC	0.25	locomotion	run
locomotion/Speed_Run_AP	0.25	locomotion	run
locomotion/Speed_Run_AS	0.25	locomotion	run
locomotion/Speed_Run_B	0.25	locomotion	run
locomotion/Speed_Run_CCW	0.25	locomotion	run
locomotion/Speed_Run_CW	0.25	locomotion	run
locomotion/Speed_Run_F	0.25	locomotion	run

sword_shield/RL_Avatar_Atk_2xCombo01_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_2xCombo02_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_2xCombo03_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_2xCombo04_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_2xCombo05_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo01_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo02_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo03_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo04_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo05_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo06_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_3xCombo07_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_4xCombo01_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_4xCombo02_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_4xCombo03_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_Jump_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Atk_Kick_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Atk_ShieldCharge_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Atk_ShieldSwipe01_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Atk_ShieldSwipe02_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Atk_SlashDown_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_SlashLeft_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_SlashRight_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_SlashUp_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_Spin_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Atk_Stab_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Counter_Atk01_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Counter_Atk02_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Counter_Atk03_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Counter_Atk04_Motion	1.0	sword_shield	attack	sword
sword_shield/RL_Avatar_Counter_Atk05_Motion	1.0	sword_shield	attack	misc
sword_shield/RL_Avatar_Dodge_Backward_Motion	1.0	sword_shield	move	backward
sword_shield/RL_Avatar_Dodgle_Left_Motion	1.0	sword_shield	move	left
